First_Column,Second_Column,Third_Column
4518,7701,1
4590,7701,2
4603,7701,3
4630,7701,1
4701,7701,2
4736,7701,2
4757,7701,2
4766,7701,2
4803,7701,1
4884,7701,3
4982,7701,1
5196,7701,2
5229,7701,3
5389,7701,1
5405,7701,1
5445,7701,1
5586,7701,1
5602,7701,2
5690,7701,1
5767,7701,1
5836,7701,1
5885,7701,2
5917,7701,1
5936,7701,2
5998,7701,1
6001,7701,2
6044,7701,1
6357,7701,2
6422,7701,1
6548,7701,1
6619,7701,1
6681,7701,1
6741,7701,1
6823,7701,1
6900,7701,2
6998,7701,2
7016,7701,2
7047,7701,1
7054,7701,1
7099,7701,1
7101,7701,1
7157,7701,3
7274,7701,6
7277,7701,1
7460,7701,2
7540,7701,1
7562,7701,2
7800,7701,1
7843,7701,1
7938,7701,2
8124,7701,1
8169,7701,2
8229,7701,2
8289,7701,1
8447,7701,3
8458,7701,3
8482,7701,1
8540,7701,1
8608,7701,1
8659,7701,1
8703,7701,3
8830,7701,1
8899,7701,2
8914,7701,1
9111,7701,1
9328,7701,2
9392,7701,1
9465,7701,4
9517,7701,2
9578,7701,1
9645,7701,2
9720,7701,3
10036,7701,1
10043,7701,1
10222,7701,1
10226,7701,1
10227,7701,1
10317,7701,3
10393,7701,1
10441,7701,1
10528,7701,1
10541,7701,2
10591,7701,1
10611,7701,1
10803,7701,1
10862,7701,1
10915,7701,2
11130,7701,3
11309,7701,4
11390,7701,1
11428,7701,1
11433,7701,1
11442,7701,1
11574,7701,1
11749,7701,1
11954,7701,1
12006,7701,3
12085,7701,1
12209,7701,2
12217,7701,1
12227,7701,3
12563,7701,1
12579,7701,1
12646,7701,2
12660,7701,1
12804,7701,2
12976,7701,2
12991,7701,1
13015,7701,3
13047,7701,1
13110,7701,1
13207,7701,1
13233,7701,1
13415,7701,1
13425,7701,4
13442,7701,2
13477,7701,8
13754,7701,1
13898,7701,2
13932,7701,1
13960,7701,1
13963,7701,1
13996,7701,2
14003,7701,1
14012,7701,1
14046,7701,1
14066,7701,1
14498,7701,2
14529,7701,1
14630,7701,1
14692,7701,1
14777,7701,1
14877,7701,2
14896,7701,1
14938,7701,1
15037,7701,2
15052,7701,1
15058,7701,1
15160,7701,1
15236,7701,2
15291,7701,2
15308,7701,2
15321,7701,1
15340,7701,1
15578,7701,2
15585,7701,1
15711,7701,1
15736,7701,1
15760,7701,2
15764,7701,1
15878,7701,1
15881,7701,3
15888,7701,1
15894,7701,2
15923,7701,1
15948,7701,1
15977,7701,1
15991,7701,2
16047,7701,1
16373,7701,2
16474,7701,1
16503,7701,2
16507,7701,2
16555,7701,1
16621,7701,1
16633,7701,2
16777,7701,6
16800,7701,1
16874,7701,1
16966,7701,1
